"Employbl Company ID","Company Name","Website","Address 1","City","State","Zip","Latitude","Longitude","Company Description","Thumbnail URL"
1,"3scale","3scale.net","450 Townsend St #204","San Francisco","CA",94107,37.774634,-122.398642,"Unlock the power of your APIs (owned by RedHat)",
2,"8tracks","8tracks.com","51 Sharon St","San Francisco","CA",94114,37.765227,-122.429756,"8tracks is the best place to make and discover playlists",
3,"10 by 10","10by10.io",,"San Francisco","CA",,37.774929,-122.419415,"We help independent recruiters and agencies earn more in placement fees",
4,"15Five","15five.com","12 Gallagher Ln","San Francisco","CA",94103,37.781714,-122.403236,"15Five software elevates the performance and engagement of employees by continuously asking questions and starting the right conversations.",
5,"21Tech","21tech.com","1330 Broadway #1530","Oakland","CA",94612,37.803900,-122.270794,"Enterprise Asset Management: 21Tech has broad experience implementing, customizing and maintaining Infor EAM in the public sector.",
6,"23andMe","23andme.com","899 W Evelyn Ave","Mountain View","CA",94041,37.395208,-122.079159,"Discover what 125+ personalized reports have to say about your ancestry, health, traits and more.",
7,"80Twenty","80twenty.com","369 Pine St #208","San Francisco","CA",94104,37.791722,-122.402020,"80Twenty is the leading marketing, sales, and creative staffing agency with offices in San Francisco, Silicon Valley, Los Angeles, and New York City.",
8,"99designs","99designs.com","2201 Broadway #815","Oakland","CA",94612,37.811184,-122.267560,"The global creative platform for custom graphic design: logos, websites and more. Hire a talented designer or start a design contest. 500k+ happy customers",
9,"140 Proof","140proof.com","77 De Boom St","San Francisco","CA",94107,37.782260,-122.392125,"The most precise way to advertise in mobile apps",
10,"2600Hz","2600hz.com","140 Geary St","San Francisco","CA",94108,37.787935,-122.405029,"Revolutionizing Business Communications",
11,"Abl Schools","ablschools.com",,"San Francisco","CA",,37.774929,-122.419415,"Smart, flexible school scheduling",
12,"Abstract","goabstract.com","2567 Mission Street","San Francisco","CA","",37.756034,-122.418592,"Abstract is a platform for modern design teams to work together",
13,"Accela","accela.com","2633 Camino Ramon #500","San Ramon","CA",94583,37.766261,-121.958243,"For nearly 20 years, Accela has been an industry leader in designing and delivering government software to improve efficiency, increase citizen engagement",
14,"Accenture","www.accenture.com","560 Mission St #1200","San Francisco","CA",94105,37.788696,-122.399372,"Accenture is a global management consulting and professional services firm",
15,"Addepar","addepar.com","303 Bryant St","Mountain View","CA",94041,37.392670,-122.080849,"Addepar is the first performance reporting platform that easily handles all of your assets, connecting your financial goals and objectives with real world actionable insights.",
16,"Adecco Group","www.adeccogroup.com","903 Sneath Ln Ste 123","San Bruno","CA",94066,37.635000,-122.424555,"In the world of work, The Adecco Group is the world's leading provider of temporary staffing, permanent placement, career transition and talent development",
17,"Admitsee","www.admitsee.com","600 California St 11th Floor","San Francisco","CA",94109,37.792955,-122.404794,"The key to your college application success is making it your own",
18,"Adobe","www.adobe.com","601 Townsend St","San Francisco","CA",94103,37.771206,-122.401662,"Adobe is changing the world through digital experiences. We help our customers create, deliver and optimize content and applications.",
19,"AdRoll","www.adroll.com","2300 Harrison St 2nd floor","San Francisco","CA",94110,37.760419,-122.413250,"AdRoll is the Growth Platform that makes your display, social, and email advertising work together to drive more revenue, with less effort from you.",
20,"AdStage","www.adstage.io","461 Bush St 4th Floor","San Francisco","CA",94108,37.790365,-122.405118,"Closed-loop reporting and automation platform for paid media campaigns",
21,"Advent Software","www.advent.com","600 Townsend St","San Francisco","CA",94103,37.771704,-122.402634,"Advent Software is a software company that makes software designed to automate portfolio accounting for investment management firms. These range from family offices and investment advisers to large institutional investors and hedge funds.",
22,"Adyen","www.adyen.com","274 Brannan St #600","San Francisco","CA",94107,37.782608,-122.391772,"Accept payments everywhere",
23,"Aerotek","www.aerotek.com","611 Gateway Blvd Suite 600","South San Francisco","CA",94080,37.658690,-122.400136,"Aerotek is the leading recruitment and staffing agency worldwide. Our staffing solutions are focused on bringing great people and great organizations together.",
24,"AEye","aeye.ai","5700 Stoneridge Dr #102","Pleasanton","CA",94588,37.691173,-121.891925,"AEye is an artificial perception pioneer and creator of iDAR™, a new form of intelligent data collection that acts as the eyes and visual cortex of autonomous",
25,"Affinity","www.affinity.co","150 Columbus Ave","San Francisco","CA",94133,37.796981,-122.404782,"Relationship Intelligence, Reimagined. Utilize your team's relationship graph.",
26,"Affirm","www.affirm.com","650 California St","San Francisco","CA",94108,37.792912,-122.405211,"Buy with Affirm – and pay off your purchase in easy, fixed monthly payments",
27,"After College","www.aftercollege.com","98 Battery St # 502","San Francisco","CA",94111,37.792085,-122.399368,"Connect directly with and be discovered by the employers who want to hire you.",
28,"Airbnb","www.airbnb.com","999 Brannan St","San Francisco","CA",94103,37.770138,-122.406353,"Book unique homes and experiences all over the world.",
29,"Airtable","airtable.com","799 Market St","San Francisco","CA",94103,37.785885,-122.405289,"Part spreadsheet, part database, and entirely flexible, teams use Airtable to organize their work, their way.",
30,"Airware","www.airware.com","343 Sansome St #600","San Francisco","CA",94104,37.793697,-122.401731,"The World’s #1 Enterprise Drone Analytics Company",
31,"AKQA","www.akqa.com","360 Third St","San Francisco","CA",94107,37.782707,-122.398354,"Through the imaginative application of art and science, we exist to create a better future with you.",
32,"Aktana","www.aktana.com","207 Powell St #800","San Francisco","CA",94102,37.786667,-122.408340,"Aktana empowers life science sales and marketing teams to provide beneficial information to the physicians they serve",
33,"Alation","alation.com","805 Veterans Blvd #307","Redwood City","CA",94063,37.491223,-122.228606,"Alation's Data Catalog empowers analysts & information stewards to search, query and collaborate for fast, accurate insights and confident decision-making.",
34,"Algolia","www.algolia.com","589 Howard St","San Francisco","CA",94105,37.786910,-122.397679,"Algolia's hosted search API helps product builders create lightning-fast, highly relevant search to connect their users with what matters",
35,"AlienVault","www.alienvault.com","1100 Park Pl #300","San Mateo","CA",94403,37.545105,-122.290819,"At AT&T Cybersecurity our mission is to provide phenomenal threat intelligence, collaborative defense & effective security for organizations of all sizes.",
36,"Allbirds","www.allbirds.com","57 Hotaling Pl","San Francisco","CA",94111,37.796147,-122.402940,"The world's most comfortable shoes, made with natural materials like merino wool, eucalyptus tree fiber, and sugar cane, Allbirds has created the comfiest shoes",
37,"Alloy","alloy.ai","1 Zoe St","San Francisco","CA",94107,37.780521,-122.396507,"Alloy helps brand manufacturers stay ahead of demand. Our SaaS platform automatically connects and analyzes cross-channel POS and inventory data, and delivers proactive recommendations for best-in-class customer experiences and supply chain management. Intuitive analytics and predictive notifications quickly surface the details teams need to respond with agility. A breadth of customers have benefited from the end-to-end insight into their business, ranging from Fortune 100 enterprises to fast-growing startups like eero, Walker & Company, and Soludos.",
