company_id,companyname,min_employees,max_employees,website,description,headquarters_location,year_founded,total_investment,descriptors
755,"PANDORA MEDIA, INC.",2000,5000,www.pandora.com,Start listening for free. Every Pandora station evolves with your tastes. Sit back and enjoy.,Oakland,2000,750309376,"[""internet"", ""advertising"", ""internet radio"", ""radio broadcasting stations"", ""software industry"", ""navigation"", ""technical support"", ""music"", ""video streaming"", ""broadcasting"", ""digital"", ""application"", ""iphone"", ""user interface design"", ""blackberry"", ""mobile"", ""software"", ""interactive"", ""communications"", ""media"", ""radio stations & broadcast companies"", ""advertising-broadcast & film"", ""internet media"", ""community"", ""other"", ""radio station"", ""medical service"", ""advertising/marketing"", ""food & beverage"", ""radio networks"", ""radio stations"", ""information""]"
839,Renew Financial,200,500,renewfinancial.com,An easy-to-use financing solution that allows you to make home improvements with no money down. Apply today!,Oakland,2008,602200000,"[""renewables & environment"", ""financial services"", ""renewable energy"", ""clean energy"", ""fintech"", ""finance"", ""financing services"", ""commercial & savings banks"", ""banks"", ""loans"", ""electric power generation, transmission and distribution""]"
618,Marqeta,200,500,marqeta.com,"Marqeta card-issuing platform is inspiring new possibilities for the world's most innovative companies. Learn about our merchant services and virtual card here!",Oakland,2010,528000000,"[""financial services"", ""financial technology"", ""transaction processing"", ""payments"", ""fintech"", ""communications"", ""media"", ""tech startup"", ""electronics research & development"", ""internet based services"", ""finance and insurance"", ""financial transactions processing, reserve, and clearinghouse activities""]"
678,Mosaic,100,500,joinmosaic.com,"Mosaic is a solar fin-tech company based in Oakland, California. Founded in 2010, Mosaic created their initial business model using crowdfunding principals to offer loans for commercial solar development projects.",Oakland,2010,487623744,"[""crowdfunding"", ""solar"", ""clean energy"", ""finance"", ""solar energy service"", ""home improvement"", ""local services"", ""financial services"", ""utilities"", ""electric power generation, transmission and distribution"", ""solar electric power generation""]"
580,LendUp,100,500,www.lendup.com,We believe everyone deserves access to quality credit,San Francisco,2012,361500000,"[""financial services"", ""fintech"", ""financial technology"", ""lending"", ""finance"", ""specialty finance"", ""financials"", ""payday loans"", ""financing services"", ""alternative loans"", ""loans"", ""tech startup"", ""consumer finance"", ""technology"", ""finance and insurance""]"
360,Fivetran,200,500,fivetran.com,Stream data into your warehouse for advanced analytics. Fivetran was built for analysts to access to all their business data. Sign up today for a free trial.,Oakland,2012,163108000,"[""data integration"", ""software"", ""technology"", ""application software"", ""computer software"", ""software company"", ""internet company"", ""tech startup"", ""analytics"", ""enterprise software"", ""big data"", ""cloud data services"", ""software publishers""]"
866,Roofstock,100,500,roofstock.com,Earn passive income by purchasing rental homes with tenants from Roofstock. Our certified properties are inspected and come with a 30-day money back,Oakland,2015,132250000,"[""real estate"", ""real estate investing"", ""financial technology"", ""gayri menkul"", ""rental property"", ""information technology"", ""marketplace"", ""fintech"", ""information services"", ""property management"", ""communications"", ""media"", ""tech startup"", ""internet based services"", ""investments"", ""finance and insurance""]"
2593,LaunchDarkly,100,500,launchdarkly.com,"LaunchDarkly is a Feature Management Platform that serves over 100 billion feature flags daily to help software teams build better software, faster. Feature flagging is an industry best practice of wrapping a new or risky section of code or infrastructure change with a flag. Each flag can easily be turned off independent of code deployment (aka ”dark launching”). 

Our vision is to eliminate risk for developers and operations teams from the software development cycle. As companies transition to a world built on software, there is an increasing requirement to move quickly, balanced with the desire to maintain control. LaunchDarkly is the feature management platform to control the whole feature lifecycle from Concept → Launch → Value.

LaunchDarkly has SDKs for all major web and mobile platforms. We are building a diverse team so that we can offer robust products and services. Our team culture is fast-paced, friendly, and supportive.",Oakland,2014,130300000,"[""computer software"", ""developer tools"", ""software"", ""saas"", ""test and measurement"", ""internet company"", ""software publishers"", ""software publishers""]"
339,Everlaw,200,500,everlaw.com,"A modern approach to ediscovery: discover relevant information, reveal details hidden in huge document troves, and collaboratively act on the information.",Berkeley,2010,96604992,"[""technology services"", ""technology"", ""legal"", ""computer software"", ""cd-rom services"", ""project management"", ""productivity tools"", ""document management"", ""legal tech"", ""ediscovery"", ""cloud computing"", ""document examiners"", ""legal service plans"", ""litigation support services"", ""computer software & services"", ""business documents & records-storage & management"", ""business services"", ""business service"", ""information technology company"", ""information services"", ""legal services"", ""software publishers""]"
1110,VSCO,100,500,vsco.co,"VSCO is a photo company for creators, by creators.",Oakland,2011,90000000,"[""internet"", ""software"", ""technology"", ""photo editing"", ""mobile"", ""photography"", ""app"", ""app page"", ""it services"", ""information technology services"", ""application software"", ""fine art artists"", ""computer software publishers & developers"", ""tech startup""]"
687,Mynd,200,500,mynd.co,"You can rely on us for modern property management, including fast leasing, data and insights, as well as multi-channel communication. Get peace of Mynd.",Oakland,2016,77600000,"[""real estate"", ""mobile apps"", ""property management"", ""investment"", ""property maintenance"", ""leasing service""]"
4224,PolySign,20,50,polysign.io,"PolySign develops state-of-the-art, secure, scalable infrastructure for financial institutions to fully leverage their digital assets. The company also develops a secure and scalable infrastructure for financial institutions to fully leverage their digital assets. They aim to integrate with existing financial organizations and global markets, and rigorously embrace the highest standards for regulation.",Oakland,2018,74695000,"[""financial services"", ""cryptocurrency"", ""security"", ""asset management"", ""payments"", ""fintech""]"
798,productboard,100,500,productboard.com,"The product management system that helps you understand what users need, prioritize what to build, and rally everyone around your roadmap.",Oakland,2014,64700000,"[""internet"", ""analytics"", ""product design"", ""project management"", ""product management"", ""product research"", ""software"", ""technology"", ""tech startup"", ""application software"", ""software publishers""]"
336,Even,100,500,even.com,"We partner with employers to offer Even as a benefit. Employers offer Even to their people; in return, employers save money because Even improves employee retention.",Oakland,2014,52000000,"[""financial services"", ""financial technology"", ""machine learning"", ""personal finance"", ""employee benefits"", ""fintech"", ""finance"", ""apps"", ""software"", ""technology"", ""company""]"
1095,Vidado,20,50,vidado.ai,Vidado is the only enterprise-grade solution for digitizing and enriching data of any quality at the scale and speed modern business demands.,Oakland,2011,51900000,"[""computer software"", ""enterprise software"", ""insurtech"", ""saas"", ""cloud data services"", ""machine learning"", ""data integration"", ""artificial intelligence""]"
14,99designs,200,1000,99designs.com,"The global creative platform for custom graphic design: logos, websites and more. Hire a talented designer or start a design contest. 500k+ happy customers",Oakland,2008,45000000,"[""design"", ""business cards"", ""web apps"", ""outsourcing"", ""graphic design"", ""e-commerce"", ""professional services"", ""technology services"", ""technology"", ""tech startup"", ""graphic design services"", ""it services""]"
748,Outlier,20,50,outlier.ai,"When something unusual happens in your data,  something important has happened in your business. Outlier is here to alert you and empower you to make meaningful decisions.",Oakland,2015,37858768,"[""business intelligence"", ""analytics"", ""developer tools"", ""software"", ""data visualization"", ""computer software"", ""software publishers""]"
631,Mayvenn,50,200,mayvenn.com,"Quality virgin human hair & extensions trusted & recommended by 100000 stylists, and backed by the only 30-day return policy in the industry.",Oakland,2013,36000000,"[""beauty"", ""mobile"", ""e-commerce"", ""retail"", ""hair extensions"", ""internet"", ""m-commerce"", ""technology""]"
186,Ceres Imaging,50,200,ceresimaging.net,"At Ceres Imaging we capture, process, and deliver high-resolution spectral imagery as a service for agriculture.",Oakland,2013,35500000,"[""food"", ""consumer staples"", ""farming"", ""consumer products"", ""agricultural producers"", ""agriculture"", ""drones"", ""agtech"", ""big data"", ""machine learning"", ""farming service"", ""farm management service"", ""biotechnology company""]"
2591,Lucid,50,100,lucidconnects.com,Lucid is making building management simple. Founding Date 2004 Products BuildingOS,Oakland,2004,33007720,"[""analytics"", ""enterprise software"", ""internet of things"", ""software"", ""saas"", ""energy efficiency"", ""energy management"", ""data visualization"", ""big data"", ""designers-industrial & commercial"", ""information technology services"", ""business services"", ""software publishers"", ""software publishers""]"
344,Omicia,20,50,fabricgenomics.com,"AI-driven interpretation platform for any genomic test that enables rapid generation of physician-ready clinical reports for clinical labs, hospital systems",Oakland,2009,29800000,"[""biotechnology"", ""biotecnologie"", ""genetics"", ""bioinformatics"", ""artificial intelligence"", ""health care"", ""software"", ""technology"", ""health & welfare clinics"", ""notions"", ""fabric shops"", ""application software"", ""health care and social assistance""]"
422,Gravitational,50,100,gravitational.com,Securely Deliver Your Applications Into Any Environment. Securely Deliver Your Applications Into Any Environment Achieve true application portability while meeting the toughest compliance requirements.,Oakland,2015,29200000,"[""computer software"", ""software company"", ""internet company"", ""office"", ""tech startup"", ""software"", ""cloud infrastructure"", ""privacy"", ""cloud data services"", ""software publishers""]"
4209,Nearby,10,50,nearbyhq.com,"Nearby is a computer software company that helps businesses and companies to connect with nearby customers. The company helps businesses put their inventory online, and adds their store to the marketplace for their town.",Oakland,2020,26100000,"[""software"", ""e-commerce"", ""business intelligence"", ""shopping""]"
850,Riffyn,20,50,riffyn.com,We make machine learning in science an everyday reality. Don’t settle for ELN and LIMS. Riffyn can take you beyond.,Oakland,2014,24900000,"[""biotechnology"", ""software"", ""pharmaceutical"", ""technology"", ""computer software"", ""cloud"", ""infrastructure software""]"
1102,Vivun,10,50,vivun.com,"Beat the competition to product-market fit, revive dormant sales opportunities, nail your revenue forecast, and unlock vital sales intelligence to close deals faster",Oakland,2018,21000000,"[""internet"", ""enterprise software"", ""b2b"", ""information technology"", ""software"", ""saas"", ""machine learning"", ""artificial intelligence"", ""crm""]"
155,Broadly,100,500,broadly.com,"Broadly's software helps your business look great online. Get more positive online reviews, keep negative feedback offline, and attract more customers.",Oakland,2013,20629000,"[""computer software"", ""mobile apps"", ""small and medium businesses"", ""reputation"", ""advertising"", ""consumer reviews"", ""seo"", ""social media"", ""messaging"", ""computer system designers & consultants"", ""internet products & services"", ""communications"", ""media"", ""internet media"", ""advertising agency"", ""building"", ""office""]"
236,Comfy,50,200,comfyapp.com,"Comfy connects people, places, and systems to drive employee satisfaction, optimize space utilization, and increase building efficiency.",Oakland,2013,19847000,"[""other"", ""brand"", ""enterprise software"", ""mobile apps"", ""saas"", ""smart building"", ""business intelligence"", ""artificial intelligence"", ""custom computer programming services""]"
